sacc_code,country,year,departures,display_country
2405,Iceland,2005-06,40,Iceland
2406,Norway,2005-06,950,Norway
2407,Sweden,2005-06,780,Sweden
3101,Andorra,2005-06,0,Andorra
3102,Gibraltar,2005-06,0,Gibraltar
3104,Italy,2005-06,1090,Italy
3105,Malta,2005-06,120,Malta
3106,Portugal,2005-06,250,Portugal
3108,Spain,2005-06,420,Spain
3201,Albania,2005-06,30,Albania
3202,Bosnia/Herzegov,2005-06,380,Bosnia/Herzegov
3203,Bulgaria,2005-06,120,Bulgaria
3204,Croatia,2005-06,590,Croatia
3205,Cyprus,2005-06,190,Cyprus
3206,North Macedonia,2005-06,370,North Macedonia
3207,Greece,2005-06,880,Greece
3208,Moldova,2005-06,20,Moldova
3211,Romania,2005-06,240,Romania
3212,Slovenia,2005-06,60,Slovenia
3214,Montenegro,2005-06,10,Montenegro
3215,Serbia,2005-06,80,Serbia
3216,Kosovo,2005-06,0,Kosovo
3301,Belarus,2005-06,20,Belarus
3302,Czechia,2005-06,500,Czechia
3303,Estonia,2005-06,70,Estonia
3304,Hungary,2005-06,240,Hungary
3305,Latvia,2005-06,90,Latvia
3306,Lithuania,2005-06,70,Lithuania
3307,Poland,2005-06,850,Poland
3308,Russia,2005-06,430,Russia
3311,Slovakia,2005-06,270,Slovakia
3312,Ukraine,2005-06,280,Ukraine
4101,Algeria,2005-06,50,Algeria
4102,Egypt,2005-06,280,Egypt
4103,Libya,2005-06,30,Libya
4104,Morocco,2005-06,30,Morocco
4105,Sudan,2005-06,100,Sudan
4106,Tunisia,2005-06,20,Tunisia
4111,South Sudan,2005-06,0,South Sudan
4201,Bahrain,2005-06,70,Bahrain
4202,Palestine,2005-06,0,Palestine
4203,Iran,2005-06,560,Iran
4204,Iraq,2005-06,400,Iraq
4205,Israel,2005-06,390,Israel
4206,Jordan,2005-06,220,Jordan
4207,Kuwait,2005-06,180,Kuwait
4208,Lebanon,2005-06,810,Lebanon
4211,Oman,2005-06,160,Oman
4212,Qatar,2005-06,60,Qatar
4213,Saudi Arabia,2005-06,270,Saudi Arabia
4214,Syria,2005-06,140,Syria
4215,Türkiye,2005-06,710,Türkiye
4216,Unit Arab Emir,2005-06,170,Unit Arab Emir
4217,Yemen,2005-06,10,Yemen
5101,Myanmar,2005-06,140,Myanmar
5102,Cambodia,2005-06,210,Cambodia
5103,Laos,2005-06,150,Laos
5104,Thailand,2005-06,2830,Thailand
5105,Vietnam,2005-06,1980,Vietnam
5201,Brunei,2005-06,180,Brunei
5202,Indonesia,2005-06,6350,Indonesia
5203,Malaysia,2005-06,5320,Malaysia
5204,Philippines,2005-06,3490,Philippines
5205,Singapore,2005-06,4150,Singapore
5206,Timor-Leste,2005-06,110,Timor-Leste
6101,China,2005-06,10400,China
6102,Hong Kong,2005-06,4700,Hong Kong
6103,Macau,2005-06,100,Macau
6104,Mongolia,2005-06,80,Mongolia
6105,Taiwan,2005-06,2530,Taiwan
6201,Japan,2005-06,5890,Japan
6202,"Korea, North",2005-06,110,"Korea, North"
6203,"Korea, South",2005-06,5180,Korea South
7101,Bangladesh,2005-06,630,Bangladesh
7102,Bhutan,2005-06,60,Bhutan
7103,India,2005-06,5940,India
7104,Maldives,2005-06,60,Maldives
7105,Nepal,2005-06,240,Nepal
7106,Pakistan,2005-06,710,Pakistan
7107,Sri Lanka,2005-06,1190,Sri Lanka
7201,Afghanistan,2005-06,200,Afghanistan
7202,Armenia,2005-06,10,Armenia
7203,Azerbaijan,2005-06,10,Azerbaijan
7204,Georgia,2005-06,10,Georgia
7205,Kazakhstan,2005-06,30,Kazakhstan
